"id","name","description","strategy_criteria","buy_entry","buy_exit","sell_entry","sell_exit","sl_criteria","trlg_criteria","trlg_option","active"
"1001","Price-Cr-Ema100-SL-Ema100","Price-Cr-Ema100-SL-Ema100","prev_ema100","( curr_close > curr_ema100 && prev_close < prev_ema100 ) ","( curr_close <  signal_sl || curr_close  < signal_trlg || curr_close < curr_ema100  ) ","( curr_close < curr_ema100 && prev_close > prev_ema100 ) ","( curr_close >  signal_sl || curr_close  > signal_trlg || curr_close > curr_ema100  ) ","40","8","linear","0"
"1002","Price-Cr-Ema150-SL-Ema150","Price-Cr-Ema150-SL-Ema150","prev_ema150","( curr_close > curr_ema150 && prev_close < prev_ema150 ) ","( curr_close <  signal_sl || curr_close  < signal_trlg || curr_close < curr_ema150  ) ","( curr_close < curr_ema150 && prev_close > prev_ema150 ) ","( curr_close >  signal_sl || curr_close  > signal_trlg || curr_close > curr_ema150  ) ","40","8","linear","0"
"1003","Price-Cr-Ema200-SL-Ema200","Price-Cr-Ema200-SL-Ema200","prev_ema200","( curr_close > curr_ema200 && prev_close < prev_ema200 ) ","( curr_close <  signal_sl || curr_close  < signal_trlg || curr_close < curr_ema200  ) ","( curr_close < curr_ema200 && prev_close > prev_ema200 ) ","( curr_close >  signal_sl || curr_close  > signal_trlg || curr_close > curr_ema200  ) ","40","8","linear","0"
"1004","Price-Cr-Ema250-SL-Ema250","Price-Cr-Ema250-SL-Ema250","prev_ema250","( curr_close > curr_ema250 && prev_close < prev_ema250 ) ","( curr_close <  signal_sl || curr_close  < signal_trlg || curr_close < curr_ema250  ) ","( curr_close < curr_ema250 && prev_close > prev_ema250 ) ","( curr_close >  signal_sl || curr_close  > signal_trlg || curr_close > curr_ema250  ) ","40","8","linear","0"
"1005","Price-Cr-Ema300-SL-Ema300","Price-Cr-Ema300-SL-Ema300","prev_ema300","( curr_close > curr_ema300 && prev_close < prev_ema300 ) ","( curr_close <  signal_sl || curr_close  < signal_trlg || curr_close < curr_ema300  ) ","( curr_close < curr_ema300 && prev_close > prev_ema300 ) ","( curr_close >  signal_sl || curr_close  > signal_trlg || curr_close > curr_ema300  ) ","40","8","linear","0"
"1006","Price-Cr-Ema350-SL-Ema350","Price-Cr-Ema350-SL-Ema350","prev_ema350","( curr_close > curr_ema350 && prev_close < prev_ema350 ) ","( curr_close <  signal_sl || curr_close  < signal_trlg || curr_close < curr_ema350  ) ","( curr_close < curr_ema350 && prev_close > prev_ema350 ) ","( curr_close >  signal_sl || curr_close  > signal_trlg || curr_close > curr_ema350  ) ","40","8","linear","0"
"1007","Price-Cr-Ema400-SL-Ema400","Price-Cr-Ema400-SL-Ema400","prev_ema400","( curr_close > curr_ema400 && prev_close < prev_ema400 ) ","( curr_close <  signal_sl || curr_close  < signal_trlg || curr_close < curr_ema400  ) ","( curr_close < curr_ema400 && prev_close > prev_ema400 ) ","( curr_close >  signal_sl || curr_close  > signal_trlg || curr_close > curr_ema400  ) ","40","8","linear","0"
"1008","Price-Cr-Ema450-SL-Ema450","Price-Cr-Ema450-SL-Ema450","prev_ema450","( curr_close > curr_ema450 && prev_close < prev_ema450 ) ","( curr_close <  signal_sl || curr_close  < signal_trlg || curr_close < curr_ema450  ) ","( curr_close < curr_ema450 && prev_close > prev_ema450 ) ","( curr_close >  signal_sl || curr_close  > signal_trlg || curr_close > curr_ema450  ) ","40","8","linear","0"
"1009","Price-Cr-Ema500-SL-Ema500","Price-Cr-Ema500-SL-Ema500","prev_ema500","( curr_close > curr_ema500 && prev_close < prev_ema500 ) ","( curr_close <  signal_sl || curr_close  < signal_trlg || curr_close < curr_ema500  ) ","( curr_close < curr_ema500 && prev_close > prev_ema500 ) ","( curr_close >  signal_sl || curr_close  > signal_trlg || curr_close > curr_ema500  ) ","40","8","linear","0"
"1010","Price-Cr-Ema550-SL-Ema550","Price-Cr-Ema550-SL-Ema550","prev_ema550","( curr_close > curr_ema550 && prev_close < prev_ema550 ) ","( curr_close <  signal_sl || curr_close  < signal_trlg || curr_close < curr_ema550  ) ","( curr_close < curr_ema550 && prev_close > prev_ema550 ) ","( curr_close >  signal_sl || curr_close  > signal_trlg || curr_close > curr_ema550  ) ","40","8","linear","0"
"1011","Price-Cr-Ema600-SL-Ema600","Price-Cr-Ema600-SL-Ema600","prev_ema600","( curr_close > curr_ema600 && prev_close < prev_ema600 ) ","( curr_close <  signal_sl || curr_close  < signal_trlg || curr_close < curr_ema600  ) ","( curr_close < curr_ema600 && prev_close > prev_ema600 ) ","( curr_close >  signal_sl || curr_close  > signal_trlg || curr_close > curr_ema600  ) ","40","8","linear","0"
